Host,Dopant,ligand,Facet,DFT,ΔCE/CN,ΔEA,ΔWS,ΔBE/CNads
Ag,Au,R-NH2,100,0.282563397,0.06541286,-1.00663,0.01,0.25197855
Ag,Cu,R-NH2,100,0.069753208,0.11533974,0.067,0.34,0.37819818
Ag,Ni,R-NH2,100,-0.018769133,0.37967295,0.146,0.41,1.41135401
Ag,Pd,R-NH2,100,0.042296467,0.16925903,0.74,0.14,0.5340572
Ag,Pt,R-NH2,100,0.386909258,0.50206696,-0.826,0.11,1.85415261
Au,Ag,R-NH2,100,0.062334191,-0.0654129,1.00663,-0.01,-0.2519786
Au,Cu,R-NH2,100,0.039720448,0.04992688,1.07363,0.33,0.12621962
Au,Ni,R-NH2,100,-0.108889109,0.31426008,1.15263,0.4,1.15937546
Au,Pd,R-NH2,100,0.069331919,0.10384616,1.74663,0.13,0.28207864
Au,Pt,R-NH2,100,0.03490202,0.4366541,0.18063,0.1,1.60217406
Cu,Ag,R-NH2,100,-0.188636273,-0.1153397,-0.067,-0.34,-0.3781982
Cu,Au,R-NH2,100,0.03065034,-0.0499269,-1.07363,-0.33,-0.1262196
Cu,Ni,R-NH2,100,0.055445239,0.2643332,0.079,0.07,1.03315583
Cu,Pd,R-NH2,100,0.263641107,0.05391928,0.673,-0.2,0.15585902
Cu,Pt,R-NH2,100,0.360931138,0.38672722,-0.893,-0.23,1.47595444
Ni,Ag,R-NH2,100,-0.539379492,-0.3796729,-0.146,-0.41,-1.411354
Ni,Au,R-NH2,100,-0.37606588,-0.3142601,-1.15263,-0.4,-1.1593755
Ni,Cu,R-NH2,100,-0.031495413,-0.2643332,-0.079,-0.07,-1.0331558
Ni,Pd,R-NH2,100,-0.061856503,-0.2104139,0.594,-0.27,-0.8772968
Ni,Pt,R-NH2,100,0.264208659,0.12239401,-0.972,-0.3,0.4427986
Pd,Ag,R-NH2,100,-0.059870144,-0.169259,-0.74,-0.14,-0.5340572
Pd,Au,R-NH2,100,0.118440481,-0.1038462,-1.74663,-0.13,-0.2820786
Pd,Cu,R-NH2,100,0.220475465,-0.0539193,-0.673,0.2,-0.155859
Pd,Ni,R-NH2,100,0.024307418,0.21041392,-0.594,0.27,0.87729681
Pd,Pt,R-NH2,100,0.325716257,0.33280793,-1.566,-0.03,1.32009542
Pt,Ag,R-NH2,100,-0.532974146,-0.502067,0.826,-0.11,-1.8541526
Pt,Au,R-NH2,100,-0.651350286,-0.4366541,-0.18063,-0.1,-1.6021741
Pt,Cu,R-NH2,100,0.089650635,-0.3867272,0.893,0.23,-1.4759544
Pt,Ni,R-NH2,100,0.085613508,-0.122394,0.972,0.3,-0.4427986
Pt,Pd,R-NH2,100,-0.000521789,-0.3328079,1.566,0.03,-1.3200954
Ag,Au,R-NH2,111,0.19792342,0.05814477,-1.00663,0.01,0.25197855
Ag,Cu,R-NH2,111,0.059507648,0.10252422,0.067,0.34,0.37819818
Ag,Ni,R-NH2,111,0.072092136,0.33748706,0.146,0.41,1.41135401
Ag,Pd,R-NH2,111,0.075577505,0.15045247,0.74,0.14,0.5340572
Ag,Pt,R-NH2,111,0.32460364,0.44628174,-0.826,0.11,1.85415261
Au,Ag,R-NH2,111,0.105732365,-0.0581448,1.00663,-0.01,-0.2519786
Au,Cu,R-NH2,111,0.079684079,0.04437945,1.07363,0.33,0.12621962
Au,Ni,R-NH2,111,-0.195398576,0.2793423,1.15263,0.4,1.15937546
Au,Pd,R-NH2,111,-0.004752619,0.0923077,1.74663,0.13,0.28207864
Au,Pt,R-NH2,111,-0.097777344,0.38813697,0.18063,0.1,1.60217406
Cu,Ag,R-NH2,111,-0.086876064,-0.1025242,-0.067,-0.34,-0.3781982
Cu,Au,R-NH2,111,0.024718652,-0.0443794,-1.07363,-0.33,-0.1262196
Cu,Ni,R-NH2,111,-0.036925681,0.23496285,0.079,0.07,1.03315583
Cu,Pd,R-NH2,111,0.144790594,0.04792825,0.673,-0.2,0.15585902
Cu,Pt,R-NH2,111,0.112154652,0.34375753,-0.893,-0.23,1.47595444
Ni,Ag,R-NH2,111,-0.108154977,-0.3374871,-0.146,-0.41,-1.411354
Ni,Au,R-NH2,111,-0.152778068,-0.2793423,-1.15263,-0.4,-1.1593755
Ni,Cu,R-NH2,111,0.141367386,-0.2349628,-0.079,-0.07,-1.0331558
Ni,Pd,R-NH2,111,-0.011474462,-0.1870346,0.594,-0.27,-0.8772968
Ni,Pt,R-NH2,111,0.096077549,0.10879468,-0.972,-0.3,0.4427986
Pd,Ag,R-NH2,111,0.122954289,-0.1504525,-0.74,-0.14,-0.5340572
Pd,Au,R-NH2,111,0.234751276,-0.0923077,-1.74663,-0.13,-0.2820786
Pd,Cu,R-NH2,111,0.333497974,-0.0479283,-0.673,0.2,-0.155859
Pd,Ni,R-NH2,111,0.039233563,0.1870346,-0.594,0.27,0.87729681
